Player,Draft Year,Height (in),Weight (lbs),Wingspan (in),Wingspan diff
Brandon Roy,2006,77.25,207.0,80.0,2.75
Blake Schilb,2006,77.25,209.0,80.75,3.5
Mouhamed Sene,2006,83.0,237.0,92.5,9.5
Cedric Simmons,2006,80.25,223.0,88.25,8.0
Marcus Slaughter,2006,79.0,220.0,83.5,4.5
Craig Smith,2006,77.5,259.0,81.5,4.0
Steven Smith,2006,79.5,238.0,84.5,5.0
Michael Southhall,2006,81.5,241.0,88.25,6.75
Frans Steyn,2006,85.25,280.0,86.25,1.0
Curtis Stinson,2006,73.75,208.0,77.0,3.25
Tyrus Thomas,2006,79.25,217.0,87.0,7.75
Joah Tucker,2006,75.75,224.0,78.5,2.75
Ian Vouyoukas,2006,80.5,267.0,84.75,4.25
Darius Washington,2006,71.5,195.0,76.0,4.5
CJ Watson,2006,72.5,171.0,78.0,5.5
Marcus Williams,2006,74.0,215.0,79.0,5.0
Shawne Williams,2006,79.25,227.0,87.0,7.75
Justin Williams,2006,79.25,211.0,85.5,6.25
Shelden Williams,2006,79.5,258.0,88.25,8.75
Eric Williams,2006,79.25,285.0,88.25,9.0
Curtis Withers,2006,78.0,227.0,82.0,4.0
Mohamed Abukar,2007,80.0,210.0,81.0,1.0
Mario Boggan,2007,77.0,240.0,86.0,9.0
Craig Bradshaw,2007,80.0,240.0,85.5,5.5
Corey Brewer,2007,78.0,185.0,80.25,2.25
Aaron Brooks,2007,70.0,161.0,76.0,6.0
Bobby Brown,2007,71.0,170.0,76.0,5.0
Russell Carter,2007,75.0,221.0,80.5,5.5
Coleman Collins,2007,80.0,236.0,86.0,6.0
Mike Conley,2007,71.0,175.0,77.75,6.75
Daequan Cook,2007,75.0,203.0,80.25,5.25
Ryvon Covile,2007,79.0,250.0,85.25,6.25
Javaris Crittenton,2007,75.0,194.0,77.5,2.5
Jermareo Davidson,2007,81.0,230.0,88.0,7.0
Justin Doellman,2007,80.0,205.0,80.75,0.75
Zabian Dowdell,2007,73.0,191.0,82.0,9.0
Jared Dudley,2007,77.0,219.0,79.0,2.0
Kevin Durant,2007,81.0,215.0,88.75,7.75
Rashaun Freeman,2007,78.0,244.0,83.5,5.5
Aaron Gray,2007,84.0,271.0,87.25,3.25
Caleb Green,2007,78.0,238.0,83.75,5.75
Jeff Green,2007,79.0,228.0,85.25,6.25
Taurean Green,2007,71.0,173.0,74.25,3.25
Spencer Hawes,2007,82.0,244.0,84.5,2.5
Brandon Heath,2007,74.0,181.0,79.0,5.0
Herbert Hill,2007,79.0,232.0,86.25,7.25
Al Horford,2007,80.0,246.0,84.75,4.75
Quinton Hosley,2007,77.0,215.0,83.25,6.25
James Hughes,2007,81.0,209.0,87.0,6.0
Jeremy Hunt,2007,74.0,198.0,80.25,6.25
Ekene Ibekwe,2007,80.0,208.0,90.0,10.0
Dominic James,2007,70.0,175.0,74.0,4.0
Trey Johnson,2007,75.0,216.0,77.0,2.0
Rashad Jones-Jennings,2007,78.0,235.0,84.0,6.0
Jared Jordan,2007,72.0,183.0,72.0,0.0
Coby Karl,2007,75.0,204.0,83.0,8.0
Antanas Kavaliauskas,2007,81.0,237.0,82.5,1.5
Carl Landry,2007,79.0,248.0,83.0,4.0
Stephane Lasme,2007,77.0,213.0,86.0,9.0
Acie Law,2007,74.0,186.0,78.5,4.5
Marko Lekic,2007,81.0,267.0,85.0,4.0
Ron Lewis,2007,74.0,194.0,78.5,4.5
Cartier Martin,2007,76.0,218.0,82.0,6.0
Dominic McGuire,2007,79.0,220.0,82.5,3.5
Josh McRoberts,2007,80.0,240.0,85.0,5.0
Sammy Mejia,2007,77.0,218.0,83.0,6.0
Brad Newley,2007,77.0,201.0,80.0,3.0
Demetris Nichols,2007,78.0,211.0,84.25,6.25
Joakim Noah,2007,82.0,223.0,85.25,3.25
Greg Oden,2007,83.0,257.0,88.25,5.25
