Player,Draft Year,Height (in),Weight (lbs),Wingspan (in),Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
Damion James,2010,78.25,226.6,84.75,TEXAS,34,30.3,18.0,6.2,12.3,0.501,1.1,2.8,0.383,4.6,6.8,0.674,3.1,7.1,10.3,1.0,1.7,1.2,2.0,2.9
Wesley Johnson,2010,78.25,206.4,85.0,SYRA,35,35.0,16.5,5.9,11.8,0.502,1.5,3.5,0.415,3.2,4.1,0.772,2.1,6.4,8.5,2.2,1.7,1.8,2.3,2.1
Armon Johnson,2010,74.0,195.2,80.0,UNR,34,34.5,15.7,6.4,13.0,0.495,0.5,2.1,0.239,2.4,3.5,0.678,0.8,2.6,3.4,5.6,0.8,0.4,3.4,1.8
Dominique Jones,2010,75.25,216.0,81.25,USOFL,33,37.1,21.4,6.7,14.9,0.45,1.6,5.1,0.311,6.3,8.5,0.741,1.1,5.0,6.1,3.6,1.7,0.6,2.9,2.8
Jerome Jordan,2010,83.5,244.2,89.25,TULSA,35,29.8,15.4,5.3,9.6,0.549,0.0,0.0,0.0,4.9,7.1,0.688,2.4,6.7,9.1,1.3,0.5,2.3,2.3,2.8
Sylven Landesberg,2010,76.75,210.0,81.0,UVA,27,32.1,17.3,6.1,13.9,0.443,0.9,2.2,0.383,4.1,5.1,0.81,1.4,3.5,4.9,2.9,0.8,0.3,2.3,2.1
Gani Lawal,2010,79.5,233.4,84.0,GT,36,25.8,13.1,4.8,9.0,0.529,0.0,0.0,0.0,3.5,6.2,0.572,2.9,5.6,8.5,0.4,0.4,1.4,2.2,2.1
Greg Monroe,2010,81.75,246.6,86.25,GTOWN,34,34.2,16.1,5.9,11.3,0.525,0.2,0.8,0.259,4.1,6.1,0.66,2.2,7.5,9.6,3.8,1.2,1.5,3.3,2.6
Artsiom Parakhouski,2010,82.25,268.2,85.0,RADF,31,34.7,21.4,8.1,13.9,0.581,0.1,0.4,0.25,5.1,9.1,0.562,5.2,8.2,13.4,1.1,0.6,2.1,2.4,2.2
Patrick Patterson,2010,80.0,239.6,85.25,UK,38,33.0,14.3,5.7,9.8,0.575,0.6,1.8,0.348,2.4,3.4,0.692,3.1,4.4,7.4,0.9,0.7,1.3,1.1,1.6
Dexter Pittman,2010,81.5,302.6,90.0,TEXAS,34,19.1,10.4,4.1,6.3,0.654,0.0,0.0,0.0,2.2,4.0,0.556,3.0,2.9,5.9,0.5,0.4,1.9,1.8,2.6
Andy Rautins,2010,76.25,191.6,79.0,SYRA,35,32.5,12.1,3.7,8.5,0.438,2.8,6.9,0.407,1.9,2.3,0.815,0.5,2.9,3.4,4.9,2.0,0.2,2.8,2.2
Stanley Robinson,2010,78.5,213.2,84.0,UConn,34,34.2,14.5,6.0,11.4,0.525,0.8,2.3,0.342,1.8,2.9,0.629,2.7,5.0,7.6,1.0,0.9,1.2,2.3,1.5
Larry Sanders,2010,81.25,222.4,89.75,VCU,35,26.9,14.4,5.6,10.5,0.534,0.1,0.5,0.25,3.1,4.8,0.641,3.0,6.1,9.1,1.0,0.7,2.6,1.7,2.9
Jon Scheyer,2010,76.75,180.0,75.25,DUKE,40,36.8,18.2,5.3,13.3,0.399,2.8,7.2,0.383,4.9,5.5,0.878,0.8,2.8,3.6,4.9,1.6,0.3,1.6,1.4
Lance Stephenson,2010,76.5,227.0,82.5,CINCY,34,28.2,12.3,4.8,10.8,0.44,0.5,2.1,0.219,2.3,3.5,0.664,1.9,3.5,5.4,2.5,0.9,0.2,2.4,1.9
Mikhail Torrance,2010,76.0,208.8,79.5,UA,32,32.6,15.6,5.1,10.8,0.47,1.2,3.4,0.358,4.2,4.9,0.865,0.3,3.4,3.7,5.1,0.8,0.3,2.7,1.5
Evan Turner,2010,77.75,213.8,80.0,OSU,31,35.8,20.4,7.6,14.7,0.519,0.6,1.8,0.364,4.5,5.9,0.754,2.0,7.2,9.2,6.0,1.7,0.9,4.4,2.8
Ekpe Udoh,2010,80.75,237.4,88.5,BAYL,36,35.1,13.9,5.3,10.8,0.49,0.2,0.7,0.269,3.1,4.5,0.685,3.6,6.2,9.8,2.7,0.8,3.7,2.4,2.4
Jarvis Varnado,2010,80.25,210.2,87.5,MISST,36,31.5,13.8,5.1,8.8,0.582,0.0,0.0,0.0,3.6,5.8,0.61,3.0,7.3,10.3,0.9,0.7,4.7,2.0,2.4
Greivis Vasquez,2010,77.0,210.8,79.0,UMD,33,33.9,19.6,6.7,15.5,0.429,2.1,5.8,0.359,4.2,4.9,0.857,1.2,3.5,4.6,6.3,1.7,0.4,3.4,2.1
John Wall,2010,74.75,195.6,81.25,UK,37,34.8,16.6,5.5,11.8,0.461,1.0,3.1,0.325,4.7,6.3,0.754,0.8,3.5,4.3,6.5,1.8,0.5,4.0,1.9
Terrico White,2010,75.75,202.6,81.0,MISS,35,31.5,15.1,5.5,12.8,0.43,1.7,5.1,0.341,2.4,3.4,0.714,1.6,3.0,4.6,1.5,0.9,0.2,1.3,1.8
Hassan Whiteside,2010,82.5,226.6,91.0,MARSH,34,26.1,13.1,4.9,9.4,0.524,0.1,0.1,0.6,3.2,5.5,0.588,2.7,6.2,8.9,0.3,0.6,5.4,1.9,2.4
Keith Benson,2011,82.0,217.0,87.75,OAKL,35,32.4,17.9,6.6,12.1,0.547,0.3,0.7,0.391,4.5,7.0,0.643,2.7,7.5,10.1,1.1,0.8,3.6,1.9,3.1
Alec Burks,2011,77.0,192.6,82.0,COLO,38,31.4,20.5,6.6,14.1,0.469,0.7,2.5,0.292,6.6,7.9,0.825,2.4,4.1,6.5,2.9,1.1,0.3,2.6,2.3
