Player,Draft Year,Height (in),Weight (lbs),Wingspan (in),Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
Jordan Bell,2017,79.0,223.6,83.75,OREG,39,28.8,10.9,4.4,6.9,0.636,0.1,0.4,0.214,2.1,3.0,0.701,2.9,5.9,8.8,1.8,1.3,2.3,1.9,1.7
Jaron Blossomgame,2017,77.75,218.6,82.0,CLEM,33,34.3,17.7,6.7,13.4,0.499,0.7,2.8,0.255,3.6,5.1,0.714,1.8,4.5,6.3,1.5,0.8,0.9,1.7,1.6
Chris Boucher,2017,80.0,182.2,88.0,OREG,31,23.5,11.8,4.5,8.7,0.524,1.2,3.3,0.35,1.5,2.7,0.565,1.7,4.3,6.1,0.4,0.4,2.5,1.0,2.7
Isaiah Briscoe,2017,73.25,222.4,81.0,UK,36,30.4,12.1,4.5,9.6,0.47,0.5,1.6,0.288,2.6,4.1,0.635,1.5,3.9,5.4,4.2,0.8,0.2,2.5,2.6
Dillon Brooks,2017,77.0,220.2,78.0,OREG,35,25.3,16.1,5.9,12.1,0.488,1.6,4.1,0.401,2.7,3.6,0.754,1.0,2.2,3.2,2.7,1.1,0.5,2.1,2.8
Thomas Bryant,2017,81.5,247.8,90.0,IU,34,28.1,12.6,4.4,8.4,0.519,0.7,1.8,0.383,3.2,4.4,0.73,2.2,4.4,6.6,1.5,0.8,1.5,2.3,3.1
Zach Collins,2017,82.25,232.2,85.0,ZAGS,39,17.2,10.0,3.5,5.3,0.652,0.3,0.5,0.476,2.8,3.8,0.743,1.7,4.2,5.9,0.4,0.5,1.8,1.5,2.7
John Collins,2017,80.25,225.2,83.25,WF,33,26.6,19.2,7.1,11.4,0.622,0.0,0.0,0.0,5.0,6.7,0.745,3.8,6.1,9.8,0.5,0.6,1.6,1.8,3.0
Tyler Dorsey,2017,75.0,182.6,77.25,OREG,39,30.0,14.6,4.8,10.4,0.467,2.3,5.3,0.423,2.7,3.6,0.755,0.8,2.6,3.5,1.7,0.8,0.1,1.5,1.5
Damyean Dotson,2017,76.5,205.2,81.0,U of H,32,34.3,17.4,6.3,13.4,0.47,3.4,7.6,0.443,1.4,1.7,0.83,1.5,5.4,6.9,1.1,0.9,0.2,1.0,1.7
PJ Dozier,2017,77.25,200.6,83.0,SOCAR,36,28.7,13.9,5.3,13.0,0.407,1.2,3.9,0.298,2.1,3.6,0.597,1.1,3.7,4.8,2.8,1.7,0.3,2.2,2.8
Jawun Evans,2017,70.75,185.2,77.5,OKST,32,29.3,19.2,6.6,15.1,0.438,1.1,3.0,0.379,4.8,6.0,0.812,0.8,2.7,3.4,6.4,1.8,0.1,2.8,2.3
Markelle Fultz,2017,,-,,UWASH,25,35.7,23.2,8.4,17.6,0.476,2.1,5.0,0.413,4.4,6.7,0.649,1.3,4.4,5.7,5.9,1.6,1.2,3.2,2.5
Josh Hart,2017,75.75,209.2,80.25,VILL,36,33.1,18.7,6.6,12.9,0.51,2.1,5.1,0.404,3.5,4.7,0.747,1.4,5.0,6.4,2.9,1.6,0.3,2.0,2.3
Nigel Hayes,2017,78.25,254.2,87.25,UWISC,37,32.4,14.0,4.9,10.6,0.457,0.6,1.9,0.314,3.6,6.2,0.587,2.2,4.4,6.6,2.7,0.8,0.4,1.7,1.8
Isaiah Hicks,2017,79.25,233.4,84.5,UNC,39,23.3,11.8,4.5,7.8,0.574,0.0,0.0,0.0,2.9,3.7,0.779,1.8,3.6,5.5,1.4,0.4,0.7,1.6,3.1
Wesley Iwundu,2017,77.5,193.4,85.0,KSU,35,31.4,13.0,4.3,9.0,0.481,0.9,2.4,0.376,3.5,4.5,0.767,1.0,5.3,6.3,3.5,1.0,0.3,2.3,1.8
Frank Jackson,2017,74.0,201.6,79.5,DUKE,36,24.9,10.9,3.7,7.8,0.473,1.4,3.6,0.395,2.1,2.8,0.755,0.6,1.9,2.5,1.7,0.6,0.1,1.4,2.4
Peter Jok,2017,76.25,202.4,80.0,IOWA,32,30.7,19.9,6.2,14.6,0.426,2.6,6.9,0.38,4.8,5.3,0.911,0.9,4.6,5.5,2.6,1.1,0.1,2.5,2.2
Luke Kennard,2017,76.5,196.2,77.25,DUKE,37,35.5,19.5,6.4,13.1,0.49,2.4,5.4,0.438,4.3,5.1,0.856,1.2,3.9,5.1,2.5,0.8,0.4,1.6,2.2
Kyle Kuzma,2017,80.0,222.6,84.25,U of U,29,30.8,16.4,6.3,12.4,0.504,0.9,2.9,0.321,2.9,4.4,0.669,2.8,6.6,9.3,2.4,0.6,0.5,2.1,1.6
TJ Leaf,2017,80.75,222.2,83.0,UCLA,35,29.9,16.3,6.7,10.9,0.617,0.8,1.7,0.466,2.1,3.0,0.679,2.2,6.0,8.2,2.4,0.6,1.1,1.5,2.5
Tyler Lydon,2017,80.25,215.0,84.0,SYRA,34,36.1,13.2,4.4,9.4,0.472,1.4,3.7,0.392,2.9,3.4,0.836,2.3,6.3,8.6,2.1,1.0,1.4,1.7,2.5
Kennedy Meeks,2017,80.75,276.6,85.0,UNC,40,24.3,12.5,5.2,9.3,0.554,0.0,0.0,0.0,2.2,3.6,0.622,3.8,5.7,9.5,1.0,1.0,1.2,1.2,2.4
Donovan Mitchell,2017,73.25,211.4,82.0,LVILL,34,32.3,15.6,5.3,13.1,0.408,2.4,6.6,0.354,2.6,3.2,0.806,1.1,3.8,4.9,2.7,2.1,0.5,1.6,2.6
Monte Morris,2017,73.25,175.2,76.0,IWAST,35,35.3,16.4,6.2,13.3,0.465,1.5,4.1,0.378,2.5,3.2,0.802,1.1,3.7,4.8,6.2,1.5,0.3,1.2,1.5
Johnathan Motley,2017,79.75,238.2,88.0,BAYL,34,30.5,17.3,6.6,12.7,0.522,0.3,0.9,0.281,3.8,5.4,0.699,3.7,6.1,9.9,2.3,0.4,1.1,2.9,3.1
Semi Ojeleye,2017,77.25,241.4,81.75,SMU,35,34.1,19.0,6.0,12.3,0.487,2.1,4.9,0.424,4.9,6.3,0.785,2.3,4.6,6.9,1.5,0.4,0.4,1.4,1.8
Cameron Oliver,2017,79.0,238.6,85.25,UNR,35,31.9,16.0,5.8,12.4,0.465,1.9,4.9,0.384,2.6,3.7,0.692,1.6,7.1,8.7,1.8,0.8,2.6,2.4,2.9
Justin Patton,2017,82.0,229.0,87.0,CREI,35,25.3,12.9,5.7,8.5,0.676,0.2,0.4,0.533,1.3,2.5,0.517,1.7,4.5,6.2,1.2,0.9,1.4,1.7,2.7
Alec Peters,2017,79.25,232.0,82.75,VAL,29,35.1,23.0,7.5,16.1,0.466,2.0,5.5,0.363,5.9,6.7,0.887,2.6,7.6,10.1,2.2,0.8,0.4,2.4,2.2
Ivan Rabb,2017,80.75,219.6,85.5,Cal,31,32.6,14.0,4.9,10.1,0.484,0.3,0.6,0.4,4.0,6.0,0.663,3.0,7.4,10.5,1.5,0.7,1.0,2.2,3.1
Davon Reed,2017,76.5,206.2,84.0,UMFL,33,35.3,14.9,4.9,11.3,0.433,2.4,6.0,0.397,2.7,3.3,0.833,0.8,3.9,4.8,2.4,1.3,0.5,2.0,1.6
Devin Robinson,2017,79.0,189.6,84.75,FLA,36,26.4,11.1,3.9,8.3,0.475,1.2,3.1,0.391,2.0,2.8,0.723,1.7,4.4,6.1,0.6,0.9,0.8,1.1,2.3
Caleb Swanigan,2017,79.5,245.6,87.0,PURD,35,32.5,18.5,6.3,12.0,0.527,1.1,2.4,0.447,4.7,6.0,0.781,2.7,9.7,12.5,3.0,0.4,0.8,3.4,2.8
Sindarius Thornwell,2017,75.5,211.6,82.0,SOCAR,31,34.0,21.4,6.3,14.2,0.444,1.9,4.8,0.392,6.9,8.4,0.83,2.5,4.6,7.1,2.8,2.1,1.0,2.5,2.3
Melo Trimble,2017,73.25,195.2,74.0,UMD,33,32.1,16.8,5.5,12.5,0.436,1.8,5.5,0.317,4.2,5.3,0.789,0.3,3.3,3.6,3.7,1.1,0.2,3.0,1.8
Moritz Wagner,2017,82.0,231.2,84.0,MICH,38,23.9,12.1,4.4,7.9,0.56,1.2,3.0,0.395,2.0,2.8,0.726,1.3,2.8,4.2,0.5,1.0,0.4,1.4,2.7
Thomas Welsh,2017,83.5,254.0,84.0,UCLA,32,25.1,10.8,4.7,8.1,0.585,0.0,0.0,1.0,1.3,1.5,0.894,2.2,6.5,8.7,1.0,0.3,1.3,0.4,2.5
Derrick White,2017,75.25,189.8,79.5,COLO,34,32.8,18.1,6.0,11.9,0.507,1.7,4.2,0.396,4.4,5.4,0.813,1.0,3.1,4.1,4.4,1.2,1.4,2.4,2.1
Nigel Williams-Goss,2017,73.5,190.2,79.25,ZAGS,38,32.7,16.8,5.8,11.9,0.486,1.1,3.1,0.368,4.1,4.8,0.867,0.6,5.4,6.0,4.7,1.7,0.1,2.2,1.6
D.J. Wilson,2017,80.75,234.4,87.0,MICH,38,30.4,11.0,4.3,8.0,0.538,1.1,2.9,0.373,1.3,1.6,0.833,1.5,3.8,5.3,1.3,0.5,1.5,1.1,1.9
Grayson Allen,2018,75.0,198.0,79.25,DUKE,37,35.6,15.5,4.9,11.7,0.418,2.8,7.5,0.37,2.9,3.4,0.85,0.5,2.8,3.3,4.6,1.7,0.1,2.1,2.1
Udoka Azubuike,2018,82.0,273.8,91.0,KU,36,23.6,13.0,5.9,7.6,0.77,0.0,0.0,0.0,1.3,3.0,0.413,2.4,4.6,7.0,0.7,0.6,1.7,1.8,3.0
Mohamed Bamba,2018,83.25,225.6,94.0,TEXAS,30,30.2,12.9,4.9,9.0,0.541,0.5,1.7,0.275,2.7,4.0,0.681,3.2,7.3,10.5,0.5,0.8,3.7,1.5,2.5
Jaylen Barford,2018,73.25,207.6,75.5,ARK,35,31.3,17.9,6.4,13.6,0.47,2.5,5.8,0.431,2.7,3.7,0.721,1.0,2.9,3.9,2.5,1.0,0.3,1.9,2.5
Keita Bates-Diop,2018,79.25,223.8,87.25,OSU,34,33.1,19.8,7.3,15.1,0.48,1.9,5.4,0.359,3.3,4.1,0.794,1.5,7.2,8.7,1.6,0.9,1.6,1.8,1.7
Tyus Battle,2018,77.0,200.2,81.0,SYRA,37,39.0,19.2,6.3,15.8,0.399,2.1,6.5,0.322,4.5,5.4,0.839,0.5,2.5,2.9,2.1,1.5,0.2,2.4,2.0
Miles Bridges,2018,77.25,220.4,81.5,MCHST,34,31.4,17.1,6.1,13.4,0.457,2.1,5.7,0.364,2.7,3.2,0.853,1.3,5.7,7.0,2.7,0.6,0.8,2.0,1.6
Jalen Brunson,2018,73.0,198.4,76.0,VILL,40,31.8,18.9,6.8,13.0,0.521,2.2,5.3,0.408,3.3,4.1,0.802,0.3,2.8,3.1,4.6,0.9,0.0,1.8,2.0
Tony Carr,2018,75.0,198.8,80.25,PENST,37,35.3,19.6,6.6,16.2,0.408,2.4,5.5,0.433,4.0,5.0,0.799,0.9,4.1,4.9,5.0,0.8,0.3,2.3,1.8
Jevon Carter,2018,72.25,196.2,76.25,WVU,37,34.7,17.3,5.8,13.8,0.422,2.1,5.3,0.393,3.6,4.2,0.858,0.8,3.9,4.6,6.6,3.0,0.4,2.6,3.0
Donte DiVincenzo,2018,75.5,200.6,78.0,VILL,40,29.3,13.4,4.7,9.8,0.481,2.1,5.3,0.401,1.9,2.7,0.71,1.2,3.6,4.8,3.5,1.1,0.2,2.0,2.1
Trevon Duval,2018,73.5,191.0,80.25,DUKE,37,29.8,10.3,4.0,9.4,0.428,0.8,2.9,0.29,1.4,2.4,0.596,0.5,1.4,2.0,5.6,1.5,0.1,2.8,2.4
Carsen Edwards,2018,70.75,195.6,78.25,PURD,37,29.5,18.5,6.2,13.5,0.458,2.6,6.5,0.406,3.5,4.3,0.824,0.4,3.5,3.8,2.8,1.1,0.2,1.7,1.8
Keenan Evans,2018,73.5,183.2,77.25,TXTCH,36,29.5,17.6,5.4,11.4,0.471,1.3,4.2,0.32,5.5,6.7,0.817,0.3,2.7,3.0,3.2,1.1,0.3,1.9,1.8
Jacob Evans,2018,76.25,199.6,81.25,CINCY,36,30.8,13.0,4.5,10.5,0.427,1.7,4.5,0.37,2.4,3.2,0.754,1.4,3.3,4.7,3.1,1.3,1.0,1.8,2.0
Bruno Fernando,2018,80.75,233.2,88.25,UMD,30,22.4,10.3,3.9,6.8,0.578,0.0,0.1,0.333,2.4,3.2,0.74,1.5,5.0,6.5,0.7,0.4,1.2,1.8,2.9
Shai Gilgeous-Alexander,2018,76.5,180.0,83.5,UK,37,33.7,14.4,4.9,10.2,0.485,0.6,1.5,0.404,3.9,4.7,0.817,0.9,3.2,4.1,5.1,1.6,0.5,2.7,1.7
Devonte Graham,2018,72.25,186.4,78.25,KU,39,37.8,17.3,5.1,12.8,0.4,2.8,6.9,0.406,4.3,5.2,0.827,0.6,3.4,4.0,7.2,1.6,0.1,2.8,1.4
Isaac Haas,2018,85.25,303.0,89.0,PURD,35,23.4,14.7,5.3,8.6,0.617,0.0,0.0,0.0,4.1,5.4,0.758,1.7,4.0,5.7,0.7,0.1,1.3,1.7,2.4
Devon Hall,2018,76.25,206.4,79.75,UVA,34,32.1,11.7,3.9,8.6,0.454,1.7,3.9,0.432,2.2,2.5,0.894,0.4,3.9,4.2,3.1,0.9,0.1,1.0,1.4
Kevin Hervey,2018,78.5,211.6,87.5,UTA,33,32.2,20.5,7.4,16.5,0.446,2.3,6.9,0.339,3.4,4.2,0.807,2.3,6.2,8.5,2.2,1.2,0.6,2.7,1.8
Aaron Holiday,2018,71.75,187.0,79.5,UCLA,33,37.7,20.3,6.4,13.9,0.461,2.7,6.2,0.429,4.8,5.8,0.828,0.5,3.2,3.7,5.8,1.3,0.2,3.8,2.6
Kevin Huerter,2018,78.25,194.0,79.5,UMD,32,34.4,14.8,5.1,10.1,0.503,2.3,5.5,0.417,2.3,3.1,0.758,1.0,4.1,5.0,3.4,0.6,0.7,2.5,2.4
Alize Johnson,2018,79.25,216.6,80.75,MZZST,33,31.2,15.0,5.2,12.1,0.43,1.2,4.4,0.281,3.3,4.4,0.759,3.2,8.5,11.6,2.8,0.5,0.4,2.2,2.1
George King,2018,76.75,218.6,83.5,COLO,32,28.5,12.9,4.4,10.0,0.445,1.9,4.9,0.395,2.1,2.7,0.782,1.8,6.1,7.8,1.1,0.5,0.7,2.0,2.4
Kevin Knox,2018,79.75,212.6,83.75,UK,37,32.4,15.6,5.3,11.9,0.445,1.5,4.5,0.341,3.4,4.4,0.774,0.9,4.5,5.4,1.4,0.8,0.3,2.3,2.2
Sagaba Konate,2018,78.5,246.0,84.0,WVU,36,25.5,10.8,4.3,8.4,0.51,0.0,0.0,0.0,2.2,2.8,0.79,2.6,5.0,7.6,0.7,0.4,3.2,1.3,2.9
Caleb Martin,2018,76.75,195.8,82.0,UNR,36,33.3,18.9,6.2,13.6,0.454,2.8,6.9,0.403,3.7,5.0,0.749,0.9,4.4,5.4,2.6,1.3,0.6,1.7,2.6
Cody Martin,2018,76.75,188.6,82.25,UNR,36,35.6,14.0,5.4,10.4,0.516,0.4,1.4,0.294,2.9,4.1,0.701,1.8,4.4,6.3,4.7,1.7,1.5,2.0,2.4
Yante Maten,2018,79.25,246.2,84.5,UGA,33,34.3,19.3,6.3,13.5,0.464,0.9,2.6,0.341,5.8,7.3,0.801,3.5,5.1,8.6,1.5,0.5,1.5,2.0,2.2
Brandon McCoy,2018,83.5,250.4,86.0,UNLV,33,28.8,16.9,6.3,11.6,0.545,0.1,0.3,0.333,4.2,5.8,0.725,3.1,7.2,10.3,0.5,0.5,1.8,2.6,2.6
Chimezie Metu,2018,80.5,219.6,84.5,USC,34,31.0,15.7,6.0,11.5,0.523,0.4,1.2,0.3,3.3,4.5,0.73,1.9,5.6,7.4,1.6,0.8,1.7,2.0,2.6
Sviatoslav Mykhailiuk,2018,78.5,211.6,76.75,KU,39,34.5,14.6,5.3,12.1,0.434,2.9,6.6,0.444,1.2,1.4,0.804,1.1,2.8,3.9,2.7,1.2,0.3,1.7,2.5
Malik Newman,2018,74.5,189.2,77.5,KU,39,31.6,14.2,4.8,10.3,0.463,2.2,5.3,0.415,2.5,2.9,0.835,0.5,4.5,5.0,2.1,1.1,0.2,1.5,1.6
Josh Okogie,2018,75.0,210.8,84.0,GT,24,36.4,18.2,5.5,13.3,0.416,1.6,4.2,0.38,5.5,6.8,0.821,2.3,4.0,6.3,2.5,1.8,1.0,2.5,2.9
Theo Pinson,2018,77.0,211.2,82.75,UNC,37,29.7,10.3,3.5,7.4,0.473,0.3,1.4,0.226,2.9,3.6,0.818,1.5,5.0,6.5,5.1,1.1,0.5,2.4,2.3
Jerome Robinson,2018,76.0,188.4,79.25,BOS,35,36.0,20.7,7.1,14.7,0.485,2.3,5.7,0.409,4.2,5.0,0.83,0.5,3.1,3.6,3.3,0.9,0.1,2.7,2.5
Collin Sexton,2018,72.5,183.0,79.25,UA,33,29.9,19.2,5.9,13.3,0.447,1.3,4.0,0.336,5.9,7.6,0.778,1.0,2.7,3.8,3.6,0.8,0.1,2.8,2.5
Landry Shamet,2018,76.0,188.6,78.75,WICHI,32,31.7,14.9,4.8,9.8,0.489,2.6,5.9,0.442,2.7,3.2,0.825,0.4,2.8,3.2,5.2,0.7,0.2,2.1,1.9
Zhaire Smith,2018,74.75,198.6,81.75,TXTCH,37,28.4,11.3,4.2,7.5,0.556,0.5,1.1,0.45,2.5,3.4,0.717,2.2,2.8,5.0,1.8,1.1,1.1,1.1,1.8
Ray Spalding,2018,81.0,215.4,88.75,LVILL,36,27.6,12.3,5.1,9.4,0.543,0.1,0.5,0.263,2.0,3.2,0.64,3.1,5.5,8.7,1.3,1.5,1.7,1.7,3.0
Omari Spellman,2018,80.0,253.8,86.0,VILL,40,28.1,10.9,4.0,8.4,0.476,1.6,3.8,0.433,1.2,1.8,0.7,2.3,5.8,8.0,0.8,0.7,1.5,1.0,2.3
Khyri Thomas,2018,74.5,198.8,82.5,CREI,33,31.7,15.1,5.6,10.4,0.538,1.9,4.6,0.411,2.0,2.6,0.788,1.1,3.3,4.4,2.8,1.7,0.2,1.8,1.9
Allonzo Trier,2018,75.75,198.0,78.75,ARZ,33,34.1,18.1,5.6,11.2,0.5,2.1,5.6,0.38,4.8,5.6,0.865,0.3,2.7,3.0,3.2,0.6,0.3,2.1,1.7
Moritz Wagner,2018,82.5,241.4,84.0,MICH,39,27.6,14.6,5.5,10.5,0.528,1.6,4.1,0.394,1.9,2.8,0.694,1.5,5.7,7.1,0.8,1.0,0.5,1.4,3.1
Lonnie Walker,2018,75.75,196.2,82.25,UMFL,32,27.8,11.5,4.1,9.9,0.415,1.8,5.1,0.346,1.5,2.0,0.738,0.4,2.2,2.6,1.9,0.9,0.5,1.2,1.6
Kris Wilkes,2018,78.5,205.0,82.25,UCLA,33,29.8,13.7,4.8,11.0,0.441,1.7,4.8,0.352,2.3,3.5,0.655,1.3,3.6,4.9,1.7,0.8,0.5,1.3,2.5
Kenrich Williams,2018,78.0,200.4,79.25,TCU,32,36.0,13.2,4.8,10.2,0.477,1.4,3.6,0.395,2.1,3.0,0.688,2.8,6.5,9.3,3.9,1.8,0.5,2.0,2.5
Trae Young,2018,72.5,177.8,75.0,OKLA,32,35.4,27.4,8.2,19.3,0.422,3.7,10.3,0.36,7.4,8.6,0.861,0.4,3.5,3.9,8.7,1.7,0.3,5.2,1.8
Nickeil Alexander-Walker,2019,76.25,203.8,81.5,VT,34,34.3,16.2,5.6,11.8,0.474,1.7,4.6,0.374,3.3,4.2,0.778,0.5,3.6,4.1,4.0,1.9,0.5,2.9,2.3
RJ Barrett,2019,,-,,DUKE,38,35.3,22.6,8.4,18.5,0.454,1.9,6.2,0.308,3.9,5.9,0.665,1.6,6.0,7.6,4.3,0.9,0.4,3.2,1.8
Charles Bassey,2019,80.75,239.0,87.5,WKU,34,31.4,14.6,5.5,8.8,0.627,0.3,0.6,0.45,3.2,4.2,0.769,2.9,7.1,10.0,0.7,0.8,2.4,2.9,2.6
Jordan Bone,2019,73.5,179.0,75.25,TENN,37,32.9,13.5,5.0,10.8,0.465,1.4,3.8,0.355,2.1,2.5,0.835,0.5,2.7,3.2,5.8,0.7,0.1,2.0,1.3
Ky Bowman,2019,73.0,181.2,79.0,BOS,31,39.4,19.0,6.3,15.6,0.404,2.5,6.8,0.374,3.8,5.0,0.761,0.8,6.7,7.5,4.0,1.4,0.6,2.9,2.6
Ignas Brazdeikis,2019,77.75,220.8,81.25,MICH,37,29.6,14.8,5.1,11.0,0.462,1.5,3.9,0.392,3.1,4.1,0.773,1.2,4.3,5.4,0.8,0.7,0.5,1.2,2.1
O'Shae Brissett,2019,79.0,203.2,84.0,SYRA,34,33.0,12.4,4.3,11.0,0.393,0.9,3.3,0.27,2.9,4.4,0.66,2.2,5.3,7.5,1.8,1.0,0.8,2.0,2.1
Brandon Clarke,2019,79.25,207.2,80.25,ZAGS,37,28.1,16.9,6.9,10.1,0.687,0.1,0.4,0.267,2.9,4.2,0.694,3.1,5.5,8.6,1.9,1.2,3.1,1.5,2.1
Nicolas Claxton,2019,82.0,216.6,86.5,UGA,32,31.6,13.0,4.3,9.3,0.46,0.6,2.0,0.281,3.8,6.0,0.641,2.3,6.3,8.6,1.8,1.1,2.5,2.1,2.8
Tyler Cook,2019,79.25,245.4,84.5,IOWA,33,30.8,14.5,5.3,10.3,0.51,0.0,0.2,0.0,3.9,6.1,0.644,2.2,5.5,7.6,2.4,0.7,0.5,2.8,2.3
Jarrett Culver,2019,77.25,194.2,81.5,TXTCH,38,32.5,18.5,6.7,14.5,0.461,1.3,4.2,0.304,3.9,5.5,0.707,1.4,5.0,6.4,3.7,1.5,0.6,2.7,1.9
Terence Davis,2019,75.0,192.4,80.75,MISS,33,31.0,15.2,5.4,12.2,0.444,2.0,5.3,0.371,2.4,3.1,0.772,1.1,4.7,5.8,3.5,1.6,0.6,2.8,2.7
Luguentz Dort,2019,74.75,222.2,80.5,ASU,34,31.5,16.1,5.1,12.6,0.405,1.6,5.2,0.307,4.3,6.1,0.7,1.3,3.0,4.3,2.3,1.5,0.2,2.9,3.0
Devon Dotson,2019,72.0,178.6,75.25,KU,36,32.4,12.3,4.1,8.5,0.482,0.9,2.5,0.363,3.2,4.1,0.782,0.6,3.1,3.7,3.5,1.4,0.1,2.3,2.5
Carsen Edwards,2019,70.75,199.4,78.0,PURD,36,35.4,24.3,7.7,19.5,0.394,3.8,10.6,0.355,5.1,6.1,0.837,0.4,3.2,3.6,2.9,1.3,0.3,3.1,2.0
Tacko Fall,2019,89.25,288.8,98.25,UCF,33,24.9,11.1,4.7,6.2,0.748,0.0,0.0,0.0,1.8,4.9,0.362,2.5,5.1,7.6,0.5,0.2,2.6,1.8,2.8
Bruno Fernando,2019,80.75,237.0,87.25,UMD,34,30.0,13.6,5.1,8.4,0.607,0.1,0.3,0.3,3.3,4.3,0.779,2.9,7.7,10.6,2.0,0.6,1.9,2.8,2.7
Daniel Gafford,2019,81.25,237.6,86.25,ARK,32,28.7,16.9,6.7,10.1,0.66,0.0,0.0,0.0,3.6,6.0,0.591,2.8,5.8,8.7,0.7,0.9,2.0,2.4,2.8
Darius Garland,2019,,-,,VANDY,5,27.8,16.2,5.8,10.8,0.537,2.2,4.6,0.478,2.4,3.2,0.75,0.4,3.4,3.8,2.6,0.8,0.4,3.0,1.4
Kyle Guy,2019,72.75,167.8,76.5,UVA,38,35.4,15.4,5.2,11.6,0.449,3.2,7.4,0.426,1.8,2.2,0.833,0.7,3.8,4.5,2.1,0.7,0.1,1.4,1.0
Jaylen Hands,2019,73.5,180.4,77.5,UCLA,33,31.2,14.2,4.8,11.6,0.413,2.0,5.4,0.373,2.6,3.3,0.78,0.4,3.3,3.7,6.1,1.3,0.2,3.2,1.2
Jared Harper,2019,69.75,169.2,77.5,AUB,40,32.9,15.3,4.6,11.5,0.399,2.5,6.6,0.37,3.7,4.5,0.828,0.3,2.2,2.5,5.8,1.1,0.1,2.4,1.8
Tyler Herro,2019,76.5,192.4,75.25,UK,37,32.6,14.0,5.0,10.9,0.462,1.6,4.6,0.355,2.4,2.5,0.935,0.4,4.1,4.5,2.5,1.1,0.3,1.6,1.3
Jalen Hoard,2019,79.25,212.6,84.75,WF,31,30.2,13.1,4.9,10.7,0.458,0.4,1.7,0.226,2.9,4.1,0.717,2.6,5.0,7.6,1.5,0.6,0.6,2.5,2.2
Talen Horton-Tucker,2019,74.5,235.4,85.25,IWAST,35,27.2,11.8,4.4,10.9,0.406,1.4,4.5,0.308,1.6,2.5,0.625,0.7,4.2,4.9,2.3,1.3,0.7,1.7,2.3
De'Andre Hunter,2019,,-,,UVA,38,32.5,15.2,5.4,10.4,0.52,1.2,2.8,0.438,3.2,4.1,0.783,1.4,3.7,5.1,2.0,0.6,0.6,1.4,2.0
DaQuan Jeffries,2019,76.0,215.6,83.25,TULSA,31,28.1,13.0,4.5,8.9,0.502,1.5,4.0,0.366,2.7,3.5,0.755,1.3,4.3,5.6,1.8,1.0,1.2,1.6,3.0
Ty Jerome,2019,76.25,194.4,76.0,UVA,37,34.0,13.6,4.8,11.1,0.435,2.1,5.4,0.399,1.8,2.5,0.736,0.5,3.8,4.2,5.5,1.5,0.0,1.6,1.8
Keldon Johnson,2019,76.75,216.4,81.25,UK,37,30.7,13.5,4.6,10.1,0.461,1.2,3.2,0.381,2.9,4.2,0.703,1.3,4.5,5.9,1.6,0.8,0.2,1.6,2.2
Cameron Johnson,2019,79.0,205.2,82.0,UNC,36,29.9,16.9,5.9,11.6,0.506,2.7,5.8,0.457,2.5,3.1,0.818,1.8,3.9,5.8,2.4,1.2,0.3,1.5,1.5
Mfiondu Kabengele,2019,80.75,256.2,87.0,FLAST,37,21.6,13.2,4.4,8.8,0.502,0.6,1.8,0.369,3.7,4.9,0.761,2.1,3.8,5.9,0.3,0.6,1.5,1.3,2.6
Louis King,2019,78.75,195.2,84.25,OREG,31,30.4,13.5,4.8,11.0,0.435,1.9,4.9,0.386,2.0,2.5,0.785,1.3,4.2,5.5,1.3,0.9,0.2,2.1,2.5
Romeo Langford,2019,76.5,-,83.0,IU,32,34.1,16.5,5.5,12.3,0.448,1.1,3.9,0.272,4.4,6.1,0.722,1.4,4.0,5.4,2.3,0.8,0.8,2.1,1.9
Dedric Lawson,2019,79.0,233.0,86.25,KU,36,32.6,19.4,6.9,14.1,0.49,1.0,2.5,0.393,4.6,5.7,0.815,3.1,7.2,10.3,1.7,1.3,1.1,2.3,2.6
Terance Mann,2019,76.75,204.6,79.75,FLAST,37,31.7,11.4,4.0,7.9,0.505,0.8,2.1,0.39,2.6,3.4,0.79,2.5,4.0,6.5,2.5,0.7,0.3,1.8,2.2
Cody Martin,2019,76.75,192.2,82.25,UNR,34,34.4,12.1,4.4,8.8,0.505,1.0,2.8,0.358,2.2,2.9,0.763,0.9,3.5,4.5,4.9,1.4,0.7,1.9,2.5
Charles Matthews,2019,77.0,194.8,81.5,MICH,34,31.5,12.2,4.5,10.4,0.431,0.9,2.9,0.299,2.4,3.6,0.645,1.5,3.5,5.0,1.4,1.1,0.5,1.7,1.8
Jalen McDaniels,2019,80.25,191.6,84.25,SDSU,34,31.1,15.9,6.2,13.4,0.466,0.7,2.2,0.32,2.7,3.7,0.732,2.0,6.3,8.3,2.1,1.1,0.5,2.4,2.9
Ja Morant,2019,,-,,MRRY,33,36.6,24.5,8.0,16.1,0.499,1.7,4.8,0.363,6.7,8.2,0.813,1.2,4.5,5.7,10.0,1.8,0.8,5.2,1.5
Zach Norvell Jr.,2019,76.5,206.4,78.0,ZAGS,37,30.7,14.9,4.9,11.3,0.435,2.6,7.1,0.372,2.5,2.8,0.867,0.8,3.5,4.3,3.1,1.3,0.1,1.4,1.8
